NAME           INSTALLED   TYPE  VULNERABILITY   SEVERITY  EPSS           RISK   
tiff           4.7.1-r0    apk   CVE-2023-52356  High      0.4% (61st)    0.3    
tiff           4.7.1-r0    apk   CVE-2023-6277   Medium    0.4% (61st)    0.2    
zlib           1.3.1-r2    apk   CVE-2026-22184  Critical  < 0.1% (11th)  < 0.1  
busybox        1.37.0-r30  apk   CVE-2025-60876  Medium    < 0.1% (16th)  < 0.1  
busybox-binsh  1.37.0-r30  apk   CVE-2025-60876  Medium    < 0.1% (16th)  < 0.1  
ssl_client     1.37.0-r30  apk   CVE-2025-60876  Medium    < 0.1% (16th)  < 0.1  
curl           8.17.0-r1   apk   CVE-2025-15224  Low       < 0.1% (25th)  < 0.1  
curl           8.17.0-r1   apk   CVE-2025-14819  Medium    < 0.1% (9th)   < 0.1  
curl           8.17.0-r1   apk   CVE-2025-14524  Medium    < 0.1% (7th)   < 0.1  
curl           8.17.0-r1   apk   CVE-2025-15079  Medium    < 0.1% (7th)   < 0.1  
curl           8.17.0-r1   apk   CVE-2025-13034  Medium    < 0.1% (4th)   < 0.1  
libpng         1.6.53-r0   apk   CVE-2026-22801  Medium    < 0.1% (2nd)   < 0.1  
tiff           4.7.1-r0    apk   CVE-2023-6228   Medium    < 0.1% (2nd)   < 0.1  
libpng         1.6.53-r0   apk   CVE-2026-22695  Medium    < 0.1% (1st)   < 0.1  
curl           8.17.0-r1   apk   CVE-2025-14017  Medium    < 0.1% (0th)   < 0.1
